DSVectorSize,responseTime_ns
100,2525
100,33613
100,2538
100,40741
100,2549
100,2512
100,49718
100,2620
100,2515
100,2532
100,2517
100,2526
100,2603
100,2542
1000,14042
1000,4144
1000,4147
1000,21327
1000,8398
1000,46092
1000,4172
1000,4145
1000,4135
1000,11575
1000,35243
1000,51670
1000,4134
1000,4101
1000,4206
1000,10972
1000,4126
1000,4112
1000,4119
1000,10934
1000,4135
1000,4131
1000,4108
1000,11256
1000,34480
1000,79101
1000,4313
1000,4092
1000,4099
1000,11410
1000,4267
1000,4125
1000,11253
1000,4120
1000,4121
1000,11379
1000,65003
1000,20915
1000,4272
1000,4163
1000,4121
1000,62616
1000,4200
1000,4102
1000,60195
1000,4157
1000,4258
1000,60382
1000,21371
1000,34005
1000,11078
1000,4106
1000,4162
1000,49326
1000,4148
1000,4130
1000,60060
1000,4242
1000,4127
1000,100925
1000,11467
1000,54944
1000,4252
1000,4093
1000,68893
1000,4178
1000,4118
1000,4105
1000,4468
1000,4083
1000,4121
1000,11280
1000,60958
1000,69055
1000,4253
1000,47327
1000,4268
1000,5446
1000,11632
1000,9397
1000,18787
1000,4222
1000,4148
1000,4119
1000,4521
1000,11480
1000,42979
1000,4270
1000,10827
1000,11620
1000,7019
1000,4310
1000,10716
1000,62042
1000,60515
1000,54406
1000,20504
1000,42981
1000,4216
1000,20804
10000,87025
10000,88813
10000,83620
10000,83165
10000,83543
10000,83094
10000,83532
10000,62426
10000,82975
10000,83212
10000,83300
10000,83087
10000,82814
10000,84462
10000,95189
10000,83229
10000,104975
10000,82267
10000,84784
10000,83872
10000,82933
10000,83666
10000,82868
10000,82975
10000,113986
10000,82243
10000,82735
10000,83178
10000,86768
10000,84190
10000,82464
10000,477509
10000,37240
10000,52552
10000,36113
10000,37417
10000,5669196
10000,45791
10000,36637
10000,41068
10000,36705
10000,33794
10000,42876
10000,52788
10000,41173
10000,36301
10000,40158
10000,36137
10000,35956
10000,36052
10000,38690
10000,35644
10000,38441
10000,37066
10000,33693
10000,33435
10000,37873
10000,35419
10000,33614
10000,33725
10000,37265
10000,33714
10000,33448
10000,37697
10000,36779
10000,33617
10000,47596
10000,53895
10000,38596
10000,38099
10000,49500
10000,41498
10000,36654
10000,41435
10000,42642
10000,41416
10000,33412
10000,34058
10000,55787
10000,36962
10000,33497
10000,37702
10000,38452
10000,33210
10000,33381
10000,37457
10000,37396
10000,45746
10000,33464
10000,51535
10000,33669
10000,45305
10000,37085
10000,36754
10000,33487
10000,39014
10000,32377
10000,29184
10000,28838
10000,28963
100000,308456
100000,305552
100000,323903
100000,451119
100000,314651
100000,316365
100000,294718
100000,315986
100000,325485
100000,324805
100000,321237
100000,306464
100000,367175
100000,296023
100000,293632
100000,293068
100000,308957
100000,313555
100000,315939
100000,307798
100000,291077
100000,291976
100000,311909
100000,325595
100000,337059
100000,309743
100000,342652
100000,307905
100000,298512
100000,292084
100000,291671
100000,306253
100000,304019
100000,303032
100000,288587
100000,288708
100000,289528
100000,305198
100000,308121
100000,332603
100000,313919
100000,310948
100000,296176
100000,425705
100000,323970
100000,311350
100000,297372
100000,296211
100000,301027
100000,339582
100000,381544
100000,307848
100000,319209
100000,294650
100000,306896
100000,314272
100000,312919
100000,411802
100000,327005
100000,349737
100000,351465
100000,323360
100000,321593
100000,321851
100000,313158
100000,317441
100000,308156
100000,318114
100000,702847
100000,327510
100000,323555
100000,325160
100000,306207
100000,300349
100000,298140
100000,333474
100000,319146
100000,314994
100000,336605
100000,302534
100000,305069
100000,299994
100000,299354
100000,313974
100000,311652
100000,311895
100000,312665
100000,301569
100000,309199
100000,337274
100000,312567
100000,341991
100000,381071
100000,331114
100000,315720
100000,317059
100000,311370
100000,304265
100000,301480
100000,300770
1000000,3222365
1000000,3223379
1000000,3089714
1000000,3072064
1000000,3051951
1000000,3542931
1000000,3708677
1000000,3369235
1000000,2999227
1000000,3005422
1000000,3049914
1000000,3024762
1000000,2994599
1000000,3303745
1000000,3113457
1000000,3013738
1000000,3281612
1000000,3126571
1000000,3103917
1000000,3016082
1000000,3087856
1000000,3138620
1000000,3129058
1000000,3054152
1000000,3118648
1000000,3134739
1000000,3219272
1000000,3508063
1000000,3002336
1000000,3204929
1000000,3037344
1000000,3073378
1000000,3026255
1000000,3020111
1000000,3058263
1000000,3014684
1000000,3406528
1000000,3561797
1000000,3093425
1000000,2992777
1000000,3053924
1000000,3035915
1000000,3072554
1000000,3103383
1000000,3078817
1000000,3059057
1000000,3239900
1000000,3027915
1000000,3051667
1000000,3056302
1000000,3072359
1000000,3092676
1000000,3066259
1000000,3099456
1000000,3091090
1000000,3117893
1000000,3520334
1000000,3243671
1000000,3002169
1000000,3030738
1000000,3125535
1000000,3105284
1000000,3007900
1000000,3040979
1000000,3170112
1000000,3448407
1000000,3114980
1000000,3036553
1000000,3086052
1000000,3069319
1000000,3116521
1000000,3080478
1000000,3153290
1000000,2984832
1000000,3037051
1000000,3518872
1000000,3200520
1000000,3034759
1000000,3132691
1000000,3077702
1000000,3013004
1000000,3076080
1000000,3076454
1000000,3080899
1000000,3071853
1000000,3299686
1000000,3183109
1000000,2989907
1000000,3014548
1000000,2997921
1000000,3092693
1000000,3034007
1000000,3031809
