DSVectorSize,responseTime_ns
1000000,2388
1000000,5185
1000000,2206
1000000,2207
1000000,5529
1000000,2221
1000000,2442
1000000,2223
1000000,2483
1000000,2299
1000000,2382
1000000,2306
1000000,13692
10000000,2533
10000000,2224
10000000,2287
10000000,2240
10000000,2479
10000000,2285
10000000,2374
10000000,2248
10000000,2362
10000000,2639
10000000,2421
10000000,2391
10000000,2578
10000000,2318
10000000,2413
10000000,2376
10000000,2501
10000000,5247
10000000,2215
10000000,2227
10000000,2327
10000000,2500
10000000,2307
10000000,2369
10000000,2231
10000000,2456
10000000,2895
10000000,5824
10000000,2222
10000000,2351
10000000,2494
10000000,2220
10000000,2351
10000000,2382
10000000,2244
10000000,2370
10000000,2472
10000000,2493
10000000,4973
10000000,2223
10000000,12640
10000000,2574
10000000,2377
10000000,2330
10000000,2384
10000000,2617
10000000,3783
10000000,2228
10000000,5272
10000000,2205
10000000,2219
10000000,5488
10000000,2243
10000000,2225
10000000,2224
10000000,2450
10000000,3713
10000000,2278
10000000,5255
10000000,2229
10000000,2216
10000000,5435
10000000,2288
10000000,2343
10000000,2374
10000000,2479
10000000,2393
10000000,2218
10000000,2533
10000000,5596
10000000,2218
10000000,2357
10000000,5957
10000000,2422
10000000,5555
10000000,2224
10000000,2207
10000000,5364
10000000,2313
10000000,2396
10000000,2533
10000000,2326
10000000,2321
10000000,2261
10000000,2241
10000000,2224
10000000,2223
10000000,2222
10000000,2234
10000000,2347
10000000,2219
10000000,2225
10000000,2228
10000000,2225
10000000,2362
10000000,2227
10000000,2238
10000000,6005
10000000,2203
10000000,2440
